Item Type;Publication Year;Publication Title;Author;Title;Date;Url;ISBN;ISSN;DOI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2000;News From Google;Google;Google Launches Self-Service Advertising Program;23/10/2000;http://googlepress.blogspot.com/2000/10/google-launches-self-service.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2007;blog.pmarca.com;Andreessen, Marc;The three kinds of platforms you meet on the Internet;02/10/2007;https://web.archive.org/web/20071002031605/http:/blog.pmarca.com/2007/09/the-three-kinds.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2007;Google Online Security Blog;"Rakowski, Brian; Casto, Garret";Phishers and Malware authors beware!;18/06/2007;https://security.googleblog.com/2007/06/phishers-and-malware-authors-beware.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2007;Official Gmail Blog;Taylor, Brad;Thanks for all the spam reports;19/07/2007;https://gmail.googleblog.com/2007/07/thanks-for-all-spam-reports.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2009;Official Google Blog;"Walker, K; Wojcicki, S";Making ads more interesting;11/03/2009;https://googleblog.blogspot.com/2009/03/making-ads-more-interesting.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2010;Google Online Security Blog;Mehta, Neel;The chilling effects of malware;30/03/2010;https://security.googleblog.com/2010/03/chilling-effects-of-malware.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2010;Official Gmail Blog;Diwanji, Pavni;Detecting suspicious account activity;24/03/2010;https://gmail.googleblog.com/2010/03/detecting-suspicious-account-activity.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2010;Official Google Blog;Drummond, David;A new approach to China: an update;22/03/2010;https://googleblog.blogspot.com/2010/03/new-approach-to-china-update.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2012;Google Online Security Blog;Grosse, Eric;Security warnings for suspected state-sponsored attacks;05/06/2012;https://security.googleblog.com/2012/06/security-warnings-for-suspected-state.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2012;Google The Keyword;Dean, Jeff;Using large-scale brain simulations for machine learning and A.I.;26/06/2012;https://blog.google/technology/ai/using-large-scale-brain-simulations-for/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2013;Google The Keyword;Fuller, Jacquelline;Our continued commitment to combating child exploitation online;15/06/2013;https://blog.google/outreach-initiatives/google-org/our-continued-commitment-to-combating/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2013;Google The Keyword;Infantino, Susan;Transparency Report: Government removal requests continue to rise;19/12/2013;https://blog.google/outreach-initiatives/public-policy/transparency-report-government-removal/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2015;Google Online Security Blog;Sleevi, Ryan;Sustaining Digital Certificate Security;28/10/2015;https://security.googleblog.com/2015/10/sustaining-digital-certificate-security.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2015;Google The Keyword;Salgado, Richard;New data, more facts: an update to the Transparency Report;14/05/2015;https://blog.google/outreach-initiatives/public-policy/new-data-more-facts-update-to/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2015;Official Gmail Blog;Somanchi, Sri Harscha;The mail you want, not the spam you don’t;09/07/2015;https://gmail.googleblog.com/2015/07/the-mail-you-want-not-spam-you-dont.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google;Salgado, Richard;Sharing National Security Letters with the public;13/12/2016;https://blog.google/outreach-initiatives/public-policy/sharing-national-security-letters-public/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google Research;"Le, Quoc V.; Schuster, Mike";A Neural Network for Machine Translation, at Production Scale;27/09/2016;https://research.google/blog/a-neural-network-for-machine-translation-at-production-scale/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google The Keyword;Cohen, Jared;Protecting the world's news from digital attack;25/02/2016;https://blog.google/alphabet/protecting-worlds-news-digital-attack/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google The Keyword;Downs, Juniper;Introducing YouTube Creators for Change;22/09/2016;https://blog.google/products/youtube/introducing-youtube-creators-for-change/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google The Keyword;Junlus, Lie;Our commitment to fighting illegal hate speech online;31/05/2016;https://blog.google/around-the-globe/google-europe/our-commitment-to-fighting-illegal-hate_39/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Google The Keyword;Smith, Brittany;Working together to better protect children online;14/04/2016;https://blog.google/around-the-globe/google-europe/working-together-to-better-protec/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Hashed Out by The SSL Store™;Lynch, Vincent;Google Chrome to Require Certificate Transparency in 2017;28/10/2016;https://www.thesslstore.com/blog/google-chrome-certificate-transparency-2017/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Intuition Machine;Perez, Carlos E.;The Emergence of Modular Deep Learning;16/12/2016;https://medium.com/intuitionmachine/the-end-of-monolithic-deep-learning-86937c86bc1f;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Jigsaw;Schmidt, Eric;Google Ideas Becomes Jigsaw;16/02/2016;https://medium.com/jigsaw/google-ideas-becomes-jigsaw-bcb5bd08c423;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2016;Matt's Ramblings;Earl, Matthew;Number plate recognition with Tensorflow;06/05/2016;https://matthewearl.github.io/2016/05/06/cnn-anpr/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;blog.youtube;The YouTube Team;Bringing new Redirect Method features to YouTube;20/07/2017;https://blog.youtube/news-and-events/bringing-new-redirect-method-features/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Bulletin of the Atomic Scientists;Staff, Bulletin;Project Maven brings AI to the fight against ISIS;21/12/2017;https://thebulletin.org/2017/12/project-maven-brings-ai-to-the-fight-against-isis/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Cloud Blog;Li, Fei-Fei;Announcing Google Cloud Video Intelligence API, and more Cloud Machine Learning updates;09/03/2017;https://cloud.google.com/blog/products/gcp/announcing-google-cloud-video-intelligence-api-and-more-cloud-machine-learning-updates;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Online Security Blog;"O'Brien, Devon; Sleevi, Ryan; Whalley, Andrew";Chrome’s Plan to Distrust Symantec Certificates;11/09/2017;https://security.googleblog.com/2017/09/chromes-plan-to-distrust-symantec.html;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google Research;Stone, Zak;Introducing the TensorFlow Research Cloud;17/05/2017;https://research.google/blog/introducing-the-tensorflow-research-cloud/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Cohen, Jared;When computers learn to swear: Using machine learning for better online conversations;23/02/2017;https://blog.google/technology/ai/when-computers-learn-swear-using-machine-learning-better-online-conversations/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Google;Update on the Global Internet Forum to Counter Terrorism;04/12/2017;https://blog.google/around-the-globe/google-europe/update-global-internet-forum-counter-terrorism/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Li, Fei-Fei;Opening the Google AI China Center;13/12/2017;https://blog.google/around-the-globe/google-asia/google-ai-china-center/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Molinari, Susan;Google’s fight against human trafficking;07/09/2017;https://blog.google/outreach-initiatives/public-policy/googles-fight-against-human-trafficking/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;"Risher, Mark; Miller, Allison";Fighting phishing with smarter protections;18/10/2017;https://blog.google/technology/safety-security/fighting-phishing-smarter-protections/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Rogers, Simon;A new machine learning app for reporting on hate in America;18/08/2017;https://blog.google/outreach-initiatives/google-news-initiative/new-machine-learning-app-reporting-hate-america/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
blogPost;2017;Google The Keyword;Salgado, Richard;New government removals and National Security Letter data;07/12/2017;https://blog.google/outreach-initiatives/public-policy/new-government-removals-and-national-security-letter-data/;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
